Paper Title,Design,Condition,Effect Size,Mean/Change,SD/SMD,Female Participant Proportion,Variance
"The Effect of VR Gaming on Discomfort, Cybersickness, and Reaction Time",Within (Long),SS,1.696129405,29.36,17.31,0.5,0.121921374
Projection Displays Induce Less Simulator Sickness than Head-Mounted Displays in a Real Vehicle Driving Simulator (Exp 1),Within (Long),Exp1-HMD,1.141848327,37.19,32.57,0.5,0.055063627
Projection Displays Induce Less Simulator Sickness than Head-Mounted Displays in a Real Vehicle Driving Simulator (Exp 2),Within (Long),Exp2-HMD,1.233015873,19.42,15.75,0.27,0.058672136
Exploring the Use of Olfactory Stimuli Towards Reducing Visually Induced Motion Sickness in Virtual Reality,Within (Long),No-Olf,0.863441061,46.22,53.53,0.5,0.09805466
Exploring the Use of Olfactory Stimuli Towards Reducing Visually Induced Motion Sickness in Virtual Reality,Within (Long),High-Olf,0.699404225,38.74,55.39,0.5,0.088898795
Exploring the Use of Olfactory Stimuli Towards Reducing Visually Induced Motion Sickness in Virtual Reality,Within (Long),Mde-Olf,0.582132565,32.32,55.52,0.5,0.083531369
You’re in for a Bumpy Ride! Uneven Terrain Increases Cybersickness While Navigating with Head Mounted Displays,Within (Short),Flat,0.715400624,13.75,19.22,0.45,0.033049974
You’re in for a Bumpy Ride! Uneven Terrain Increases Cybersickness While Navigating with Head Mounted Displays,Within (Short),Regular Bump,1.034330986,23.5,22.72,0.45,0.040392639
You’re in for a Bumpy Ride! Uneven Terrain Increases Cybersickness While Navigating with Head Mounted Displays,Within (Short),Perlin Noise,1.231638418,23.98,19.47,0.45,0.046275437
Reducing simulator sickness with perceptual camera control,Within (Short),P,0.768786127,13.3,17.3,0.33,0.107959671
Reducing simulator sickness with perceptual camera control,Within (Short),O,0.6484375,8.3,12.8,0.33,0.100852966
Lean to Fly: Leaning-Based Embodied Flying can Improve Performance and User Experience in 3D Navigation,Within (Short),Gamepad,1.02124431,33.65,32.95,0.45,0.069157726
Lean to Fly: Leaning-Based Embodied Flying can Improve Performance and User Experience in 3D Navigation,Within (Short),HJ,1.064708582,23.2,21.79,0.45,0.071218281
NaviBoard and NaviChair: Limited Translation Combined with Full Rotation for Efficient Virtual Locomotion,Within (Short),NaviBoard,0.78563886,14.88,18.94,0.63,0.054525592
NaviBoard and NaviChair: Limited Translation Combined with Full Rotation for Efficient Virtual Locomotion,Within (Short),Walking,0.678100264,15.42,22.74,0.63,0.051246249
NaviBoard and NaviChair: Limited Translation Combined with Full Rotation for Efficient Virtual Locomotion,Within (Short),Controller,1.224022879,25.68,20.98,0.63,0.072879834
Intentional Head-Motion Assisted Locomotion for Reducing Cybersickness (Exp 2a),Within (Short),Exp2a-30,1.079797171,40.46,37.47,0,0.143907361
Intentional Head-Motion Assisted Locomotion for Reducing Cybersickness (Exp 2a),Within (Short),Exp2a-60,0.886227545,25.16,28.39,0,0.126609057
Intentional Head-Motion Assisted Locomotion for Reducing Cybersickness (Exp 2a),Within (Short),Exp2a-90,0.909275559,26.86,29.54,0,0.128490093
Intentional Head-Motion Assisted Locomotion for Reducing Cybersickness (Exp 2a),Within (Short),Exp2a-120,0.566380616,22.44,39.62,0,0.105490318
Intentional Head-Motion Assisted Locomotion for Reducing Cybersickness (Exp 2a),Within (Short),Exp2a-180,0.619285714,17.34,28,0,0.108341582
Intentional Head-Motion Assisted Locomotion for Reducing Cybersickness (Exp 3),Within (Short),Exp3-TP,0.720526316,13.69,19,0.35,0.024697629
Intentional Head-Motion Assisted Locomotion for Reducing Cybersickness (Exp 3),Within (Short),Exp3-JS,1.199357708,48.55,40.48,0.35,0.033710381
Intentional Head-Motion Assisted Locomotion for Reducing Cybersickness (Exp 3),Within (Short),Exp3-Ours,0.833777102,21.92,26.29,0.35,0.026423375
The Effect of Field-of-View Restriction on Sex Bias in VR Sickness and Spatial Navigation Performance,Within (Short),RN,0.996416938,30.59,30.7,0.5,0.053443691
The Effect of Field-of-View Restriction on Sex Bias in VR Sickness and Spatial Navigation Performance,Within (Short),RY,0.286309524,9.62,33.6,0.5,0.037178092
JumpVR: Jump-Based Locomotion Augmentation for Virtual Reality,Within (Short),forward-jumping,0.778022948,17.63,22.66,0.36,0.046523566
JumpVR: Jump-Based Locomotion Augmentation for Virtual Reality,Within (Short),teleportation,0.648831488,10.55,16.26,0.36,0.043231827
JumpVR: Jump-Based Locomotion Augmentation for Virtual Reality,Within (Short),scaled-1.4,1.038897095,21.1,20.31,0.36,0.054987628
JumpVR: Jump-Based Locomotion Augmentation for Virtual Reality,Within (Short),scaled-1.8,1.008581236,17.63,17.48,0.36,0.053879216
JumpVR: Jump-Based Locomotion Augmentation for Virtual Reality,Within (Short),scaled-2.2,1.028885832,14.96,14.54,0.36,0.054617965
JumpVR: Jump-Based Locomotion Augmentation for Virtual Reality,Within (Short),scaled-2.6,0.891199226,18.43,20.68,0.36,0.049897073
JumpVR: Jump-Based Locomotion Augmentation for Virtual Reality,Within (Short),scaled-3.0,0.887896825,17.9,20.16,0.36,0.049792157
"Effect of Gameplay Uncertainty, Display Type, and Age on Virtual Reality Exergames",Within (Short),Young Adults VR_Cer,0.843149039,14.03,16.64,0.38,0.084715634
"Effect of Gameplay Uncertainty, Display Type, and Age on Virtual Reality Exergames",Within (Short),Young Adults VR_Unc,0.764199656,13.32,17.43,0.38,0.080750035
"Effect of Gameplay Uncertainty, Display Type, and Age on Virtual Reality Exergames",Within (Short),Middle-aged Adults VR_Cer,0.372679045,2.81,7.54,0.38,0.066840302
"Effect of Gameplay Uncertainty, Display Type, and Age on Virtual Reality Exergames",Within (Short),Middle-aged Adults VR_Unc,0.734729494,4.21,5.73,0.38,0.079369607
Reducing Virtual Reality Sickness for Cyclists in VR Bicycle Simulators,Within (Short),Straight road,1.146596859,21.9,19.1,0.29,0.069055924
Reducing Virtual Reality Sickness for Cyclists in VR Bicycle Simulators,Within (Short),Turns,1.175,23.5,20,0.29,0.070429688
Reducing Virtual Reality Sickness for Cyclists in VR Bicycle Simulators,Within (Short),Slopes,1.315789474,25,19,0.29,0.077735457
On the Effect of the Vertical Axis Alignment on Cybersickness and Game Experience in a Supine Posture,Within (Short),SB,0.253918495,8.1,31.9,0.23,0.03440791
On the Effect of the Vertical Axis Alignment on Cybersickness and Game Experience in a Supine Posture,Within (Short),SV,0.525925926,7.1,13.5,0.23,0.037943301
On the Effect of the Vertical Axis Alignment on Cybersickness and Game Experience in a Supine Posture,Within (Short),DB,0.967391304,17.8,18.4,0.23,0.048930766
On the Effect of the Vertical Axis Alignment on Cybersickness and Game Experience in a Supine Posture,Within (Short),DV,0.502890173,8.7,17.3,0.23,0.037548309
Galvanic Skin Response and AE-LSTM for Anomaly Detection in VR-Induced Motion Sickness,Within (Short),Clear,1.040640394,42.25,40.6,0,0.096341638
Galvanic Skin Response and AE-LSTM for Anomaly Detection in VR-Induced Motion Sickness,Within (Short),Stormy,1.098176718,62.64,57.04,0,0.100187253
Investigating External Airflow and Reduced Room Temperature to Reduce Virtual Reality Sickness (Exp 1),Within (Short),Exp1-Control,1.207288532,36.11,29.91,0.32,0.061741886
Investigating External Airflow and Reduced Room Temperature to Reduce Virtual Reality Sickness (Exp 1),Within (Short),Exp1-Air Flow,1.044276027,26.18,25.07,0.32,0.055187722
A virtual reality perceptual study of multi-Technique redirected walking method,Within (Short),FNW,1.036182723,22.91,22.11,0.47,0.048026166
A virtual reality perceptual study of multi-Technique redirected walking method,Within (Short),MTRW,1.029664788,34.71,33.71,0.47,0.047815775
SmoothRide: A Versatile Solution to Combat Cybersickness in Elevation-Altering Environments,Within (Short),Control,1.093023256,33.37,30.53,0.37,0.029580554
SmoothRide: A Versatile Solution to Combat Cybersickness in Elevation-Altering Environments,Within (Short),FOV,1.015264696,31.26,30.79,0.37,0.028062615
SmoothRide: A Versatile Solution to Combat Cybersickness in Elevation-Altering Environments,Within (Short),Flat,0.964330808,30.55,31.68,0.37,0.027129018
SmoothRide: A Versatile Solution to Combat Cybersickness in Elevation-Altering Environments,Within (Short),Smooth,0.971018735,33.17,34.16,0.37,0.027248865
Driving simulation: the effects of interactivity and presentation setting,Within (Short),active,1.082590023,32.77,30.27,0.53,0.049562518
Driving simulation: the effects of interactivity and presentation setting,Within (Short),passive,1.42257122,38.95,27.38,0.53,0.062870451
